연도,수출금액(천불),수출증감률,수입금액(천불),수입증감률,수지(천불)
1956,24595,0,386063,0,-361468
1957,22202,-10,442174,15,-419972
1958,16451,-26,378165,-15,-361714
1959,19812,20,303807,-20,-283995
1960,32827,66,343527,13,-310700
1961,40878,25,316142,-8,-275264
1962,54813,34,421782,33,-366969
1963,86802,58,560273,33,-473471
1964,119058,37,404351,-28,-285293
1965,175082,47,463442,15,-288360
1966,250334,43,716441,55,-466107
1967,320229,28,996246,39,-676017
1968,455400,42,1462873,47,-1007473
1969,622516,37,1823611,25,-1201095
1970,835185,34,1983973,9,-1148788
1971,1067607,28,2394320,21,-1326713
1972,1624088,52,2522002,5,-897914
1973,3225025,99,4240277,68,-1015252
1974,4460370,38,6851848,62,-2391478
1975,5081016,14,7274434,6,-2193418
1976,7715343,52,8773632,21,-1058289
1977,10046457,30,10810538,23,-764081
1978,12710642,27,14971930,39,-2261288
1979,15055453,18,20338611,36,-5283158
1980,17504862,16,22291663,10,-4786801
1981,21253757,21,26131421,17,-4877664
1982,21853394,3,24250840,-7,-2397446
1983,24445054,12,26192221,8,-1747167
1984,29244861,20,30631441,17,-1386580
1985,30283122,4,31135655,2,-852533
1986,34714470,15,31583900,1,3130570
1987,47280927,36,41019812,30,6261115
1988,60696388,28,51810632,26,8885756
1989,62377174,3,61464772,19,912402
1990,65015731,4,69843678,14,-4827947
1991,71870122,11,81524858,17,-9654736
1992,76631515,7,81775257,0,-5143742
1993,82235866,7,83800142,3,-1564276
1994,96013237,17,102348175,22,-6334938
1995,125057988,30,135118933,32,-10060945
1996,129715137,4,150339100,11,-20623963
1997,136164204,5,144616374,-4,-8452170
1998,132313143,-3,93281754,-36,39031389
1999,143685459,9,119752282,28,23933177
2000,172267510,20,160481018,34,11786492
2001,150439144,-13,141097821,-12,9341323
2002,162470528,8,152126153,8,10344375
2003,193817443,19,178826657,18,14990786
2004,253844672,31,224462687,26,29381985
2005,284418743,12,261238264,16,23180479
2006,325464848,14,309382632,18,16082216
2007,371489086,14,356845733,15,14643353
2008,422007328,14,435274737,22,-13267409
2009,363533561,-14,323084521,-26,40449040
2010,466383762,28,425212160,32,41171602
2011,555213656,19,524413090,23,30800566
2012,547869792,-1,519584473,-1,28285319
2013,559632434,2,515585515,-1,44046919
2014,572664607,2,525514506,2,47150101
2015,526756503,-8,436498973,-17,90257530
2016,495425940,-6,406192887,-7,89233053
2017,573694421,16,478478296,18,95216125
2018,604859657,5,535202428,12,69657229
2019,542232610,-10,503342947,-6,38889663
2020,512498038,-6,467632763,-7,44865275
2021,644400368,26,615093447,32,29306921
2022,683584760,6,731369657,19,-47784897
2023,632225824,-7.5,642572126,-12.1,-10346302
2024,683609488,8.1,631767209,-1.7,51842279
